"name","gender"
"Cosette","Female"
"Jean Valjean","Male"
"Combeferre","Male"
"Gillenormand","Male"
"Javert","Male"
"Courfeyrac","Male"
"Pontmercy","Male"
"Fantine","Female"
"Madame Magloire","Female"
"Bossuet","Male"
"Enjolras","Male"
"Favourite","Female"
"Gavroche","Male"
"Bahorel","Male"
"Basque","Male"
"Dahlia","Female"
"Grantaire","Male"
"Inspector","Male"
"Éponine","Female"
"Blachevelle","Male"
"Fameuil","Male"
"Mabeuf","Male"
"Myriel","Male"
"Thénardiers","Male"
"Babet","Male"
"Bigrenaille","Male"
"Blücher","Unknown"
"Cardinal Fesch","Male"
"Chenildieu","Male"
"Clinton","Unknown"
"Cochepaille","Male"
"Comte de Lamothe-Valois","Male"
"Doctor of the quarter","Male"
"Doctor","Male"
"Mademoiselle Baptistine","Female"
"Mayor","Male"
"Ma’am Bougon","Female"
"Mentioned","Unknown"
"Napoleon","Male"
"Prisoner","Unknown"
"Stranger","Unknown"
"M. sur M.","Male"
"stranger","Unknown"
"Abbé Halma","Male"
"Abbé Tabaraud","Male"
"Abbé of Saint-Germain","Male"
"Adam","Male"
"Aigle","Unknown"
"Alcestis","Unknown"
"Alexander","Male"
"An old woman","Female"
"Antæus","Male"
"Armand Carrel","Male"
"Artonge","Unknown"
"Assizes of the Department of the Var","Unknown"
"Attorney for the Crown","Male"
"Auvergnat","Male"
"Azelma","Female"
"Badajoz","Unknown"
"Baker","Unknown"
"Balzac","Male"
"Bearded portress","Female"
"Bearded","Male"
"Beggar-girl","Female"
"Benoît VIII","Male"
"Berthier","Male"
"Bertrand","Male"
"Blondeau","Male"
"Bonaparte","Male"
"Boulatruelle","Male"
"Brevet","Male"
"Brigadier of gendarmes","Male"
"Brujon","Male"
"Brunswick","Male"
"Bullet","Unknown"
"Butcher","Male"
"Bülow","Male"
"Café Lemblin","Unknown"
"Camargo","Unknown"
"Cambronne","Male"
"Campagna of Rome","Unknown"
"Cannoneers","Unknown"
"Captain Fannicot","Male"
"Carter","Male"
"Castlereagh","Male"
"Champmathieu","Male"
"Chaplain","Male"
"Charras","Male"
"Chassé","Male"
"Chateaubriand","Male"
"Chief Justice","Male"
"Chief writer of the epoch","Unknown"
"Chévalier de Port-de-Guy","Male"
"Citizen","Unknown"
"City of Angoulême","Unknown"
"Claquesous","Male"
"Clothes-dealer","Unknown"
"Colonel Monteynard","Male"
"Colonel Selves","Male"
"Comrades","Unknown"
"Comtesse de Châteauvieux","Female"
"Convict","Male"
"Councillor of Royal Court of Douai","Male"
"Cravatte","Male"
"Curé","Male"
"Cæsar","Male"
"Dandy","Male"
"Delaverderie","Unknown"
"Diderot","Male"
"District-attorney","Male"
"Dowager","Female"
"Drouet d'Erlon","Male"
"Dubois","Male"
"Duc de Berri","Male"
"Duc de Dalmatie","Male"
"Duc de Nivernais","Male"
"Duc d’Enghien","Male"
"Duchesse de Sourdis","Female"
"Editor of the Courrier Français","Male"
"Edmond Géraud","Male"
"Elbow of the gibbet","Unknown"
"Embrun","Unknown"
"Emperor","Male"
"Errand-man","Male"
"Examining judge","Male"
"False Chateaubriand","Male"
"Father Fauvent","Male"
"Father Hucheloup","Male"
"Father Mestienne","Male"
"Feuilly","Male"
"Folard","Male"
"Friant","Male"
"Future advocate-general of Broë","Unknown"
"Gans","Male"
"Gardener","Male"
"Gendarmes","Male"
"Gibelotte","Female"
"Girl","Female"
"Gladiator","Male"
"Gordon","Male"
"Grand-Marshal","Male"
"Grandfather","Male"
"Grasse men","Unknown"
"Grave-digger","Male"
"Gregory XVI.","Male"
"Gribier","Male"
"Halkett","Male"
"Harlet","Male"
"Haxo","Male"
"Henri IV","Male"
"Hill","Unknown"
"His sister","Female"
"Houchard","Male"
"Husband","Male"
"Ife","Unknown"
"Joly","Male"
"Joubert","Male"
"Kellermann","Male"
"Kempt","Male"
"Kielmansegg","Male"
"King of Rome","Male"
"Kléber","Male"
"Labarre","Male"
"Lacenaire","Male"
"Lacoste","Male"
"Laigle de Meaux","Male"
"Leo XII.","Male"
"Liebig","Male"
"Lieutenant Théodule","Male"
"Listolier","Male"
"Lon la","Unknown"
"Lord Bathurst","Male"
