src,tgt
"It was a bright cold day in April, and the clocks were striking thirteen.","Era una luminosa e fredda giornata d'aprile, e gli orologi battevano tredici colpi."
"Winston Smith, his chin nuzzled into his breast in an effort to escape the vile wind, slipped quickly through the glass doors of Victory Mansions, though not quickly enough to prevent a swirl of gritty dust from entering along with him.","Winston Smith, tentando di evitare le terribili raffiche di vento col mento affondato nel petto, scivolò in fretta dietro le porte di vetro degli Appartamenti Vittoria: non così in fretta, tuttavia, da impedire che una folata di polvere sabbiosa entrasse con lui."
The hallway smelt of boiled cabbage and old rag mats.,L'ingresso emanava un lezzo di cavolo bollito e di vecchi e logori stoini.
"At one end of it a coloured poster, too large for indoor display, had been tacked to the wall.","A una delle estremità era attaccato un manifesto a colori, troppo grande per poter essere messo all'interno."
"It depicted simply an enormous face, more than a metre wide: the face of a man of about forty-five, with a heavy black moustache and ruggedly handsome features.","Vi era raffigurato solo un volto enorme, grande più di un metro, il volto di un uomo di circa quarantacinque anni, con folti baffi neri e lineamenti severi ma belli."
Winston made for the stairs.,Winston si diresse verso le scale.
It was no use trying the lift.,"Tentare con l'ascensore, infatti, era inutile."
"Even at the best of times it was seldom working, and at present the electric current was cut off during daylight hours. It was part of the economy drive in preparation for Hate Week.","Perfino nei giorni migliori funzionava raramente e al momento, in ossequio alla campagna economica in preparazione della Settimana dell'Odio, durante le ore diurne l'erogazione della corrente elettrica veniva interrotta."
"The flat was seven flights up, and Winston, who was thirty-nine and had a varicose ulcer above his right ankle, went slowly, resting several times on the way.","L'appartamento era al settimo piano e Winston, che aveva trentanove anni e un'ulcera varicosa alla caviglia destra, procedeva lentamente, fermandosi di tanto in tanto a riprendere fiato."
"On each landing, opposite the lift-shaft, the poster with the enormous face gazed from the wall.","Su ogni pianerottolo, di fronte al pozzo dell'ascensore, il manifesto con quel volto enorme guardava dalla parete."
It was one of those pictures which are so contrived that the eyes follow you about when you move.,"Era uno di quei ritratti fatti in modo che, quando vi muovete, gli occhi vi seguono."
"BIG BROTHER IS WATCHING YOU, the caption beneath it ran.","IL GRANDE FRATELLO VI GUARDA, diceva la scritta in basso."
Inside the flat a fruity voice was reading out a list of figures which had something to do with the production of pig-iron.,All'interno dell'appartamento una voce pastosa leggeva un elenco di cifre che avevano qualcosa a che fare con la produzione di ghisa grezza.
The voice came from an oblong metal plaque like a dulled mirror which formed part of the surface of the right-hand wall.,"La voce proveniva da una placca di metallo oblunga, simile a uno specchio oscurato, incastrata nella parete di destra."
"Winston turned a switch and the voice sank somewhat, though the words were still distinguishable.","Winston girò un interruttore e la voce si abbassò notevolmente, anche se le parole si potevano ancora distinguere."
"The instrument (the telescreen, it was called) could be dimmed, but there was no way of shutting it off completely.","Il volume dell'apparecchio (si chiamava teleschermo) poteva essere abbassato, ma non vi era modo di spegnerlo."
"He moved over to the window: a smallish, frail figure, the meagreness of his body merely emphasized by the blue overalls which were the uniform of the party.","Winston si avvicinò alla finestra: era una figura minuscola, fragile, la magrezza del corpo appena accentuata dalla tuta azzurra che costituiva l'uniforme del Partito."
