MUSEUMID,SITENAME,VESSELNAME,OTHERNAMES,PROTECTED,NMREGNR,NHBDBID,OPERATOROWNER,ORIGIN,LAUNCHEDY,PERIODC,VESSELTYPE,PURPOSE,PROPULSION,LENGTHM,BEAMM,DRAFTHEIGHTM,TONNAGEBRT,DISPLACEMENTT,CREW,PHYSICALDESCRIPTION,BIOGRAPHY,LASTFLAG,LASTCAPTAIN,LASTVOYAGE,DATEOFDEPARTURE,PORTOFDEPARTURE,DESTINATION,CARGO,TASK,WRECKED,LATITUDE,LONGITUDE,ALTERNATIVELAT,ALTERNATIVELONG,COORDINATEACCURACY,LOCATIONDESCRIPTION,SHIPWRECKINGCAUSE,SHIPWRECKINGY,DEPTHM,TOPONYM,LOCATIONTYPE,STORYOFSHIPWRECKING,EXTENTOFPRESERVATION,POSITIONONSEABED,DAMAGES,DISCOVERYY,DISCOVERER,STORYOFDISCOVERY,OBJECTSRECOVERED,MUIS,REPORTS,SONARIMAGES,OTHERSOURCES,MARKERICON,ICONMUSEUMID,TEXT
6191,Amga,Amga,,ei,,,,,,20. sajand,aurik,abilaev,aurulaev,,,,,,,"Aurik, süvendajapraam","26.-30.07.1941 - laevahukk
2002 - sonariotsingud",,,,,,,,,jah,,,,,,Ninase poolsaare lähistel,torpeedo või miin,1941,,Ninase,poolsaar,"Hukkus Ninase poolsaare lähistel, 26.-30.07.1941.a. (allveelaeva torpeedo?, põhjamiin?)",,,,,,"Otsitud sonariga 2002.aastal, leidmata. Kuuldavasti ASPTR poolt üles tõstetud.",ei,,,,"A1 lk.43, A204 lk.214",w_blue,ltblu_circle,"Amga, Raj. VI -  , aurik, süvendajapraam, hukkus Ninase poolsaare lähistel, 26.-30.07.1941.a. (allveelaeva torpeedo?, põhjamiin?) Otsitud sonariga 2002.aastal, leidmata. Kuuldavasti ASPTR poolt üles tõstetud. (A1 lk.43, A204 lk.214)"
6187,B,,,ei,,,,Saksamaa,,20. sajand,aurik,abilaev,aurulaev,,,,,,,lootsilaev,I maailmasõda - laevahukk,,,,,,,,,jah,,,,,,"Laevahukk: Kura kurgus ?, Kuressaare lähistel ?. Praegune asukoht teadmata.",,,,,,,,,,,,Asukoht teadmata,ei,,,,A87,w_blue,ltblu_circle,"“B”, Raj. VI -  , aurik, saksa lootsilaev, hukkus I maailmasõja ajal Kura kurgus(?), Kuressaare lähistel(?). Asukoht teadmata. (A87)"
3107,Petšora,Petšora,,ei,,,,Venemaa,1910,20. sajand,aurik,abilaev,aurulaev,73.24,10.97,,1982,,,sõjaväe abilaev (ujuvtöökoda),"1910-1912 - ehitamine, Venemaa
11.08.1915 ukj - laevahukk
2009 - avastamine",,,,,,,,,jah,59.5467,24.3615,,,,Naissaare lähistel,torpeedo,1915,,Naissaar,saarelähedane,Hukkus torpedeerituna U-26 poolt 11.08.1915.a.(vana kalendri järgi 25.08.1915.a.) Naissaare lähistel.,,,,2009,,Leitud 2009. aastal,ei,,,,"A82 lk.22, A83 lk.60-61, foto, sonari pildid, Lutt",w_blue,purple_circle,"Petšora, Raj. III -   , aurik, sõjaväe abilaev (ujuvtöökoda), ehit. 1910-1912 Venemaal, 1982 BRT, L=73,24 m  B=10,97 m, hukkus torpedeerituna U-26 poolt 11.08.1915.a.(vana kalendri järgi 25.08.1915.a.) Naissaare lähistel. Leitud 2009.a. koordinaatides 59*32,800´N; 24*21,690´E.(A82 lk.22, A83 lk.60-61, foto, sonari pildid, Lutt)"
749,Idumea,Idumea,,ei,,,,Soome,1899,19. sajand,jäämurdja,abilaev,,33.4,6.09,,,,,"Jäämurdja tüüpi puksiir, 400 HJ","1899 - ehitamine, Soome
12.03.1917 - laevahukk",,,Virtsu-Riia,,Virtsu,Riia,,,jah,,,,,,"Abruka paralleelil, ligikaudu 8 miili ? Viirelaiust S pool",jää,1917,,Viirelaid,saarelähedane,"Hukkus jää surve tõttu 12.03.1917.a.teel Virtsust Riiga (Abruka paralleelil), ligikaudu 8 miili (?) Viirelaiust S pool.",,,,,,Leidmata,ei,,,,"A76, A87",w_blue,grn_circle,"Idumea, Raj. VII -   , jäämurdja tüüpi puksiir, ehit. 1899 Soomes, L=33,40 m  B=6,09 m, 400 HJ, hukkus jää surve tõttu 12.03.1917.a.teel Virtsust Riiga (Abruka paralleelil), ligikaudu 8 miili (?) Viirelaiust S pool. Leidmata. (A76, A87)"
2505,Peeter,Peeter,,ei,,,,,,20. sajand,puksiir,abilaev,aurulaev,17,4.27,,32,,,125,II maailmasõda - laevahukk,,,,,,,,,üles tõstetud,,,,,,Tallinna sadam,,,,Tallinn,sadam,,,,,,,,ei,,,,Foto Meremuuseumi arhiivis ja vrakiregistris,mechanic,red_circle,"Peeter, Raj. II -   , aurupuksiir, ehit. ?, L=17.0 m  B=4,27 m, mahutavus 32 BRT, 125 HJ, uppus Tallinna sadamas II maailmasõja ajal. Hiljem üles tõstetud. (Foto Meremuuseumi arhiivis ja vrakiregistris)"
3176,Sulev,Sulev,,ei,,,,Saksamaa,,20. sajand,puksiir,abilaev,,,,,,,,400 HJ,"- ehitamine, Saksamaa
19.10.1998 - laevahukk",,,,,,,,,lammutatud,,,,,,Nõva sadam,torm,1998,,Nõva,sadam,Rebiti 19.10.1998.a. tormiga Nõva sadamas lahti ja triivis rannakividele. Vrakk on osaliselt lammutatud.,,,,,,,jah,,,,"Õhtuleht 28.10.98, foto, A311 lk.95",mechanic,purple_circle,"Sulev, Raj. III -   , puksiir 400 HJ, ehit. Saksamaal, rebiti 19.10.1998.a. tormiga Nõva sadamas lahti ja triivis rannakividele. Vrakk on osaliselt lammutatud. (Õhtuleht 28.10.98, foto, A311 lk.95)"
2526,Tapa,Tapa,,ei,,,,,1955,20. sajand,puksiir,abilaev,aurulaev,30.5,7.62,,238.7,,,"Aurupuksiir, tüüp 730, tüüp Kahhovka","1955 - ehitamine, Venemaa
1990 - uppumine, hiljem ülestõstmine",,,,,,,,,üles tõstetud,,,,,,Lennusadam,uppumine,,,Lennusadam,sadam,Uppus mahajäetuna Lennusadamas 1990-ndail aastail. Hiljem üles tõstetud.,,,,,,,jah,,,,"A17 lk.480, A98, foto",mechanic,red_circle,"Tapa, Raj. II -   , aurupuksiir (projekt 730, tüüp Kahhovka), ehitatud Venemaal 1955.a., 238,7 BRT, L=30,50 m  B=7,62 m, uppus mahajäetuna Lennusadamas 1990-ndail aastail. Hiljem üles tõstetud.(A17 lk.480, A98, foto)"
760,Riga,Riga,,ei,,,,Läti,1878,19. sajand,puksiir,abilaev,aurulaev,18.8,3.3,1.8,,,,Masina võimsus 60 HJ.,"1878 - ehitamine, Riia, Läti
12.03.1917 - laevahukk",,,Virtsu-Riia,,Virtsu,Riia,,,jah,,,,,,,jää,1917,14 sülda,,,Hukkus 12.03.1917.a. teel Virtsust Riiga jää surve tõttu.,,,,,,Leidmata,ei,,,,A87,w_blue,grn_circle,"Riga, Raj. VII -  , aurupuksiir, ehit.1878 Riias, pikkus 18,8 m, laius 3,3 m, süvis 1,8 meetrit, masina võimsus 60 HJ, hukkus 12.03.1917.a. teel Virtsust Riiga jää surve tõttu (Abruka paralleelil), ligikaudu 8 miili (?) Viirelaiust S pool, lebab 14 sülla sügavusel. Leidmata. (A87)"
3118,NT 17,NT 17,"Falkenstein, Stubbenhuk",ei,,421,,Saksamaa,1914,20. sajand,puksiir,abilaev,aurulaev,25.23,6.05,2.97,108,,,"Saksa 1-tekiline aurupukser, 108 brt, mõõtmed 25,23 x 6,05 x 2,97 m, aurumasin 430 HJ, 1 katel, kiirus 10 sõlme. Vraki pikkus ca 25-30 m, laius 7,50 m, teistel andmetel 34x14x4 m.","1914 - ehitamine, Lübeck, Saksamaa. Kompanii: Lübecker Maschinenbau-Ges
II maailmasõda - teenistus allveelaevade tõkkevõrkude paigaldusel
18.04.1943 - laevahukk
01.09.2011 - kontrollimine sonariga",,,,,,,,,jah,59.637,24.4027,,,,"Naissaare N otsast 3,7 miili NW poole",torm,1943,85,Naissaar,saarelähedane,"II maailmasõja päevil oli teenistuses allveelaevade tõkkevõrkude paigaldusel, hukkus Soome lahes 18. aprillil 1943. aastal. Läks tormiga ümber võrgulaadungi nihkumise tõttu. Inimohvreid ei olnud.",,,,,,Kalatraalerid on sealt välja tõmmanud masti. Kontrollitud Mare sonariga 01.09.2011.a.,jah,,,,"A Gröner III Koblenz 1985, Lutt, A417; B Ojase, Johanson, Lutt, sonari pildid; A417",w_blue,purple_circle,"NT 17 (Falkenstein, Stubbenhuk), Raj. III -  , Saksa 1-tekiline aurupukser, 108 brt, mõõtmed 25,23 x 6,05 x 2,97 m, aurumasin 430 HJ, 1 katel, kiirus 10 sõlme, ehit. Lübecker Maschinenbau-Ges poolt 1914. aastal, II maailmasõja päevil oli teenistuses allveelaevade tõkkevõrkude paigaldusel, hukkus Soome lahes 18. aprillil 1943. aastal. Läks tormiga ümber võrgulaadungi nihkumise tõttu. Inimohvreid ei olnud. (A Gröner III Koblenz 1985, Lutt, A417); Mastilaev, Raj. III -  , Naissaarest NW pool asuv purjelaeva vrakk, mõõtudega ca 34 x 15 x 4 meetrit. Sügavus 85 m. Kalatraalerid on sealt välja tõmmanud masti. Kontrollitud Mare sonariga 01.09.2011.a. Fikseeritud uppunud puksiir koordinaatides 59*38,2210´N; 24*24,1600´E. (B Ojase, Johanson, Lutt, sonari pildid) Vt.ka Pukser 3; Pukser 3, Raj. II - , tundmatu puksiiri vrakk Naissaare N otsast 3,7 miili NW poole. Fikseeritud sonariga 01.09.2011.a. Koordinaadid 59*38,2210´N; 24*24,1600´E Vraki pikkus ca 25-30 m ning laius 7,5 meetrit. Identifitseerimata. Vt.ka Mastilaev ning NT 17 (A417)."
2109,Tutti,Tutti,T-2,ei,,434,,Eesti,1898,20. sajand,puksiir,abilaev,aurulaev,15.6,4.29,,30.42,,,Ühetekiline vedurlaev,"1898 - ehitamine, Hamburg, Saksamaa
21.11.1944 - laevahukk
09.04.2001 - avastamine
11.04.2001 - identifitseerimine",,,,,,,,,jah,59.5625,24.7476,,,,Tallinna lahes Aegna saare lähistel,miin,1944,,Aegna,saarelähedane,"Hukkus Tallinna lahes, Aegna saare lähistel, miinil 21.11.1944.a.",,,,2001,Eesti Meremuuseum,"Leitud Meremuuseumi poolt sonariga 09.04.01.a., identifitseeritud 11.04.01.a.",ei,,,,"leitud, A4 lk.42, A253, A254, foto, sonari pilt, A311 lk.59",w_blue,red_circle,"Tutti (T-2), Raj. II - , aurik, 1-e tekiline vedurlaev, ehit. Hamburgis 1898.a. 30,42 BRT  L=15,60 m  B=4,29 m, hukkus Tallinna lahes, Aegna saare lähistel, miinil 21.11.1944.a. Leitud Meremuuseumi poolt sonariga 09.04.01.a., identifitseeritud 11.04.01.a. (leitud, A4 lk.42, A253, A254, foto, sonari pilt, A311 lk.59)"
