"SHIPWRECKINGCAUSE","Cause"
"miin","Mine"
"torm","Nav"
"uputamine","Fault"
"karilesõit","Nav"
"madalalesõit","Nav"
"torpeedo","Attack"
"miiniväli","Mine"
"randumine","Nav"
"jää","Nav"
"õhurünnak","Attack"
"tulekahju","Fault"
"kokkupõrge","Nav"
"püstuvuse kaotus","Fault"
"suurtükituli","Attack"
"pommirünnak","Attack"
"lagunemine","Fault"
"uppumine","Fault"
"pommitabamus","Attack"
"merelahing","Attack"
"lammutamine","Fault"
"udu","Nav"
"tulistamine","Attack"
"rammimine","Nav"
"madalalesõit, torm","Nav"
"kivi","Nav"
"ankruketi katkemine","Fault"
"uputamine, torpeedo ?","Attack"
"uppumine või uputamine","Fault"
"torpeedo, miin","Mine"
"torpeedo või miin","Attack"
"torpeedo ?","Attack"
"randumine, õhkimine","Attack"
"puksiiriotsa katkemine ?","Fault"
"pommirünnak, õhkimine","Attack"
"põhjavigastus","Nav"
"põhjavajumine","Fault"
"plahvatus","Fault"
"pagi","Nav"
"õhkimine","Attack"
"mootoririke","Fault"
"miiniväli ?","Mine"
"miin, uputamine","Mine"
"miin, torpeedo","Mine"
"miin, lennurünnak","Attack"
"miin ?","Mine"
"märklaud","Fault"
"mahakandmine, uppumine","Fault"
"mahakandmine, põletamine","Fault"
"mahajätmine","Fault"
"lennurünnak","Attack"
"lekk, madalalesõit","Fault"
"lekk","Fault"
"kokkupõrge, torm","Nav"
"karilesõit, jää","Nav"
"jõelahing","Attack"
"allatulistamine","Attack"
